(6, 4, 2, 0, 1, 3, 5, 7), 340.86352500889916
(5, 3, 1, 0, 2, 4, 6, 7), 341.1600450053811
(5, 2, 0, 1, 3, 4, 6, 7), 341.98974499304313
(6, 4, 3, 1, 0, 2, 5, 7), 342.1046550065512
(5, 4, 0, 1, 3, 2, 6, 7), 410.4983740107855
(6, 4, 5, 1, 0, 2, 3, 7), 410.6092139991233
(4, 6, 5, 1, 2, 0, 3, 7), 411.72288499365095
(3, 0, 2, 1, 5, 6, 4, 7), 411.7306650005048
(4, 0, 2, 6, 5, 1, 3, 7), 411.7357350041857
(5, 2, 0, 3, 1, 4, 6, 7), 411.7760450026253
(4, 6, 3, 1, 0, 2, 5, 7), 411.77773399977013
(3, 1, 5, 6, 2, 0, 4, 7), 411.77954399609007
(5, 6, 2, 1, 3, 0, 4, 7), 411.7902940051863
(4, 0, 3, 1, 2, 6, 5, 7), 411.7912940128008
(5, 1, 2, 6, 4, 0, 3, 7), 411.80632400210015
(2, 0, 1, 3, 4, 6, 5, 7), 411.8761339923367
(5, 2, 1, 3, 0, 4, 6, 7), 411.89319400291424
(3, 0, 4, 6, 2, 1, 5, 7), 411.9706349883927
(6, 4, 3, 1, 2, 0, 5, 7), 411.9961130054435
(1, 0, 2, 3, 5, 6, 4, 7), 412.0182049955474
(5, 4, 6, 0, 2, 3, 1, 7), 412.0363239926519
(4, 3, 5, 0, 1, 2, 6, 7), 412.0403339911718
(4, 0, 1, 2, 5, 3, 6, 7), 412.04121500777546
(1, 3, 2, 0, 6, 4, 5, 7), 412.04335499787703
(6, 5, 2, 4, 1, 0, 3, 7), 412.0454340009019
(6, 4, 5, 3, 0, 2, 1, 7), 412.05070400610566
(6, 4, 3, 0, 2, 1, 5, 7), 412.08362400357146
(5, 6, 0, 1, 3, 2, 4, 7), 412.1315340016736
(6, 2, 3, 0, 1, 5, 4, 7), 412.14594400662463
(5, 4, 2, 1, 3, 0, 6, 7), 412.14707400649786
(3, 1, 0, 2, 5, 6, 4, 7), 412.1503939968534
(6, 5, 1, 0, 3, 4, 2, 7), 412.15189499780536
(5, 6, 2, 0, 1, 3, 4, 7), 412.168404989643
(5, 1, 3, 6, 4, 0, 2, 7), 412.1854540135246
(3, 1, 4, 6, 2, 0, 5, 7), 412.23189400625415
(2, 0, 3, 1, 4, 6, 5, 7), 412.2425249952357
(4, 6, 3, 1, 2, 0, 5, 7), 412.24506399885286
(3, 2, 1, 0, 4, 5, 6, 7), 412.26526399259456
(5, 2, 0, 6, 4, 3, 1, 7), 412.2665339964442
(1, 3, 4, 6, 0, 2, 5, 7), 412.3109950014623
(5, 2, 6, 4, 1, 0, 3, 7), 412.3248249961762
(5, 0, 2, 6, 4, 1, 3, 7), 412.3415340000065
(1, 2, 6, 4, 0, 3, 5, 7), 412.36021400254685
(2, 0, 4, 6, 3, 1, 5, 7), 412.37499499402475
(4, 0, 2, 5, 1, 3, 6, 7), 412.3813740006881
(4, 0, 2, 6, 5, 3, 1, 7), 412.3863650020212
(5, 0, 1, 2, 6, 4, 3, 7), 412.4620539951138
(3, 1, 5, 6, 0, 2, 4, 7), 412.46378399955574
(3, 0, 6, 4, 2, 1, 5, 7), 412.478665006347
(5, 3, 0, 4, 6, 2, 1, 7), 412.49646499636583
(4, 2, 0, 6, 5, 1, 3, 7), 412.49851501197554
(1, 3, 5, 6, 2, 0, 4, 7), 412.504854000872
(5, 1, 2, 4, 6, 0, 3, 7), 412.5218039989704
(1, 2, 4, 6, 0, 3, 5, 7), 412.5286250055069
(1, 2, 0, 3, 5, 6, 4, 7), 412.53586500533856
(4, 2, 0, 6, 5, 3, 1, 7), 412.58645500056446
(5, 6, 0, 3, 1, 2, 4, 7), 412.58922399720177
(4, 2, 1, 3, 0, 6, 5, 7), 412.62805501173716
(6, 5, 1, 3, 4, 0, 2, 7), 412.63779399741907
(4, 2, 1, 5, 3, 0, 6, 7), 412.698043990531
(4, 6, 5, 3, 0, 2, 1, 7), 412.72981400834396
(6, 3, 1, 0, 2, 4, 5, 7), 412.81115399033297
(3, 5, 6, 0, 1, 2, 4, 7), 412.8274840040831
(4, 5, 0, 1, 2, 6, 3, 7), 412.83004499564413
(2, 0, 1, 3, 5, 4, 6, 7), 412.83476501121186
(2, 1, 5, 6, 3, 0, 4, 7), 412.8371949918801
(1, 0, 3, 5, 6, 2, 4, 7), 412.8374550055014
(4, 0, 5, 1, 2, 3, 6, 7), 412.85267399507575
(2, 6, 5, 4, 1, 0, 3, 7), 412.85502500250004
(1, 3, 5, 6, 0, 2, 4, 7), 412.8908549901098
(5, 3, 0, 6, 4, 2, 1, 7), 412.8936939960113
(5, 3, 2, 0, 1, 4, 6, 7), 412.9412039910676
(6, 4, 2, 3, 1, 0, 5, 7), 412.94469399144873
(3, 4, 6, 0, 1, 2, 5, 7), 412.95887500746176
(1, 0, 3, 4, 6, 2, 5, 7), 412.9613149998477
(6, 5, 1, 4, 0, 3, 2, 7), 412.96403399610426
(6, 5, 3, 0, 4, 2, 1, 7), 413.0159139895113
(6, 5, 2, 0, 4, 3, 1, 7), 413.0693649931345
(6, 2, 3, 1, 0, 4, 5, 7), 413.09506399556994
(2, 0, 5, 6, 3, 1, 4, 7), 413.1464140082244
(3, 0, 5, 6, 2, 1, 4, 7), 413.14649500418454
(5, 2, 0, 1, 3, 6, 4, 7), 413.1471540022176
(4, 3, 1, 5, 2, 0, 6, 7), 413.1598749954719
(3, 2, 0, 1, 5, 4, 6, 7), 413.17787500156555
(6, 4, 1, 3, 0, 2, 5, 7), 413.1796729925554
(2, 0, 6, 5, 4, 3, 1, 7), 413.1823850038927
(4, 6, 1, 3, 0, 2, 5, 7), 413.1842740025604
(1, 2, 5, 6, 0, 3, 4, 7), 413.1952250027098
(5, 0, 2, 1, 3, 4, 6, 7), 413.1975040072575
(1, 3, 4, 5, 6, 0, 2, 7), 413.19932500482537
(2, 1, 4, 6, 3, 0, 5, 7), 413.20127400103956
(0, 1, 2, 3, 4, 5, 6, 7), 413.2139449939132
(4, 5, 2, 0, 6, 3, 1, 7), 413.2684549986152
(6, 1, 0, 3, 2, 5, 4, 7), 413.27340400312096
(1, 2, 3, 4, 6, 0, 5, 7), 413.28397500910796
(4, 0, 3, 2, 5, 1, 6, 7), 413.2869839959312
(4, 6, 3, 0, 2, 1, 5, 7), 413.2926439924631
(1, 4, 6, 0, 3, 2, 5, 7), 413.2964849995915
(5, 0, 6, 4, 3, 2, 1, 7), 413.29662399948575
(0, 2, 1, 3, 4, 6, 5, 7), 413.2979349960806
(1, 3, 6, 0, 2, 5, 4, 7), 413.3117849996779
(5, 6, 4, 3, 1, 0, 2, 7), 413.3118949976051
